district,fatalities,no_of_camps,actual_rainfall_in_mm,normal_rainfall_in_mm,no_of_landslides,full_damaged_houses,district_encoded
Thiruvananthapuram,-0.5874318461438278,-0.6749740436312577,-1.5930484850733257,-2.1390692677739773,-0.6577761673533185,-0.7649121475213606,11
Kollam,-0.8541576573658901,-0.611037579408712,-0.5152179300654625,-1.2344510994491968,-0.6021334704170861,-0.7844603872298357,5
Pathanamthitta,-0.9430662611065775,3.0039646679849565,-0.03352377155658404,-0.5057955054258091,-0.43520537960838895,0.004799790999848831,10
Alappuzha,0.8351058137071713,1.0806867036689176,-0.6583704159137135,-0.5802113958792612,-0.6577761673533185,1.6346342766939654,0
Kottayam,-0.4540689405327966,-0.07535368997657174,-0.6145075372415474,-0.2476653854153961,0.14904293822205103,-0.80767392188365,6
Idukki,1.3241031342809522,-0.44255635611957106,2.81357580770947,0.8476435021963556,3.320676663587297,0.5240499082562202,2
Ernakulam,1.501920341762327,0.6106672910058787,-0.49847028548154476,-0.1290650600052063,-0.6577761673533185,-0.14914259670439306,1
Thrissur,2.1242805679471393,0.5510508581497212,-0.15394731118380342,0.17169916391083048,0.06557889281770246,2.6291509718626394,12
Palakkad,-0.1873431293107343,-0.6136295982285448,0.30103036667930094,-0.6523017897560432,-0.10134919799099468,0.46540518913079476,9
Malappuram,0.25719988939270294,-0.5721572971112179,0.5598213508450812,-0.175574991538614,0.1768642866901672,-0.28964556960905824,8
Kozhikode,-0.3651603367921092,-0.4114521302815758,0.24998992604259873,0.6429998034493618,-0.4073840311402728,-0.7697992074484794,7
Wayanad,-0.8097033554955464,-0.36652380407113827,1.1172786634240648,1.3561520869616137,0.6498272106481424,-0.04284904328955937,13
Kannur,-0.8097033554955464,-0.7242224012080835,-0.4306822002609244,0.95306601367208,-0.18481324339534325,-0.7526944977035636,3
Kasaragode,-1.031974864847265,-0.754462620772801,-0.5439281779236077,1.6925739250532628,-0.6577761673533185,-0.8968627655535679,4
